Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2002-12-31,0.8,0.8,0.8,0.8
2003-01-31,0.5,0.5,0.5,0.5
2003-02-28,0.5,0.5,0.5,0.5
2003-03-31,0.6,0.6,0.6,0.6
2003-04-30,0.3,0.3,0.3,0.3
2003-05-31,0.4,0.4,0.4,0.4
2003-06-30,0.8,0.8,0.8,0.8
2003-07-31,0.8,0.8,0.8,0.8
2003-08-31,0.7,0.7,0.7,0.7
2003-09-30,0.9,0.9,0.9,0.9
2003-10-31,1.3,1.3,1.3,1.3
2003-11-30,1.6,1.6,1.6,1.6
2003-12-31,1.7,1.7,1.7,1.7
2004-01-31,1.6,1.6,1.6,1.6
2004-02-29,1.6,1.6,1.6,1.6
2004-03-31,1.7,1.7,1.7,1.7
2004-04-30,2.2,2.2,2.2,2.2
2004-05-31,3.4,3.4,3.4,3.4
2004-06-30,4.4,4.4,4.4,4.4
2004-07-31,4.6,4.6,4.6,4.6
2004-08-31,4.6,4.6,4.6,4.6
2004-09-30,4.4,4.4,4.4,4.4
2004-10-31,4.5,4.5,4.5,4.5
2004-11-30,4.5,4.5,4.5,4.5
2004-12-31,4.4,4.4,4.4,4.4
2005-01-31,3.7,3.7,3.7,3.7
2005-02-28,3.6,3.6,3.6,3.6
2005-03-31,3.4,3.4,3.4,3.4
2005-04-30,3,3,3,3
2005-05-31,2.5,2.5,2.5,2.5
2005-06-30,1.4,1.4,1.4,1.4
2005-07-31,1.3,1.3,1.3,1.3
2005-08-31,1.6,1.6,1.6,1.6
2005-09-30,1.8,1.8,1.8,1.8
2005-10-31,1.6,1.6,1.6,1.6
2005-11-30,1,1,1,1
2005-12-31,0.7,0.7,0.7,0.7
2006-01-31,0.6,0.6,0.6,0.6
2006-02-28,0.7,0.7,0.7,0.7
2006-03-31,0.4,0.4,0.4,0.4
2006-04-30,0.7,0.7,0.7,0.7
2006-05-31,0.9,0.9,0.9,0.9
2006-06-30,0.8,0.8,0.8,0.8
2006-07-31,1.1,1.1,1.1,1.1
2006-08-31,1.6,1.6,1.6,1.6
2006-09-30,1.6,1.6,1.6,1.6
2006-10-31,1.2,1.2,1.2,1.2
2006-11-30,1.4,1.4,1.4,1.4
2006-12-31,1.4,1.4,1.4,1.4
2007-01-31,1.6,1.6,1.6,1.6
2007-02-28,1.9,1.9,1.9,1.9
2007-03-31,2.5,2.5,2.5,2.5
2007-04-30,2.3,2.3,2.3,2.3
2007-05-31,2.3,2.3,2.3,2.3
2007-06-30,2.6,2.6,2.6,2.6
2007-07-31,2.3,2.3,2.3,2.3
2007-08-31,1.5,1.5,1.5,1.5
2007-09-30,2.3,2.3,2.3,2.3
2007-10-31,3,3,3,3
2007-11-30,3.6,3.6,3.6,3.6
2007-12-31,4,4,4,4
2008-01-31,4,4,4,4
2008-02-29,4.2,4.2,4.2,4.2
2008-03-31,4.1,4.1,4.1,4.1
2008-04-30,4,4,4,4
2008-05-31,4.4,4.4,4.4,4.4
2008-06-30,4.6,4.6,4.6,4.6
2008-07-31,4.8,4.8,4.8,4.8
2008-08-31,4.8,4.8,4.8,4.8
2008-09-30,4.5,4.5,4.5,4.5
2008-10-31,4.2,4.2,4.2,4.2
2008-11-30,3.7,3.7,3.7,3.7
2008-12-31,3.3,3.3,3.3,3.3
2009-01-31,2.8,2.8,2.8,2.8
2009-02-28,3.3,3.3,3.3,3.3
2009-03-31,3.6,3.6,3.6,3.6
2009-04-30,4,4,4,4
2009-05-31,3.6,3.6,3.6,3.6
2009-06-30,3.5,3.5,3.5,3.5
2009-07-31,3.6,3.6,3.6,3.6
2009-08-31,3.7,3.7,3.7,3.7
2009-09-30,3.4,3.4,3.4,3.4
2009-10-31,3.1,3.1,3.1,3.1
2009-11-30,3.3,3.3,3.3,3.3
2009-12-31,3.5,3.5,3.5,3.5
2010-01-31,3.5,3.5,3.5,3.5
2010-02-28,2.9,2.9,2.9,2.9
2010-03-31,2.6,2.6,2.6,2.6
2010-04-30,2.4,2.4,2.4,2.4
2010-05-31,2.2,2.2,2.2,2.2
2010-06-30,2.3,2.3,2.3,2.3
2010-07-31,2,2,2,2
2010-08-31,2,2,2,2
2010-09-30,2.5,2.5,2.5,2.5
2010-10-31,2.8,2.8,2.8,2.8
2010-11-30,2.7,2.7,2.7,2.7
2010-12-31,3.1,3.1,3.1,3.1
2011-01-31,3.6,3.6,3.6,3.6
2011-02-28,3.6,3.6,3.6,3.6
2011-03-31,4.3,4.3,4.3,4.3
2011-04-30,4.5,4.5,4.5,4.5
2011-05-31,5,5,5,5
2011-06-30,4.2,4.2,4.2,4.2
2011-07-31,4.1,4.1,4.1,4.1
2011-08-31,4.3,4.3,4.3,4.3
2011-09-30,3.9,3.9,3.9,3.9
2011-10-31,4.3,4.3,4.3,4.3
2011-11-30,4.8,4.8,4.8,4.8
2011-12-31,4.6,4.6,4.6,4.6
2012-01-31,4.1,4.1,4.1,4.1
2012-02-29,4.3,4.3,4.3,4.3
2012-03-31,3.9,3.9,3.9,3.9
2012-04-30,4,4,4,4
2012-05-31,3.6,3.6,3.6,3.6
2012-06-30,4.3,4.3,4.3,4.3
2012-07-31,4,4,4,4
2012-08-31,3.8,3.8,3.8,3.8
2012-09-30,3.8,3.8,3.8,3.8
2012-10-31,3.4,3.4,3.4,3.4
2012-11-30,2.8,2.8,2.8,2.8
2012-12-31,2.4,2.4,2.4,2.4
2013-01-31,1.7,1.7,1.7,1.7
2013-02-28,1.3,1.3,1.3,1.3
2013-03-31,1,1,1,1
2013-04-30,0.8,0.8,0.8,0.8
2013-05-31,0.5,0.5,0.5,0.5
2013-06-30,0.2,0.2,0.2,0.2
2013-07-31,1.1,1.1,1.1,1.1
2013-08-31,1.1,1.1,1.1,1.1
2013-09-30,1,1,1,1
2013-10-31,0.8,0.8,0.8,0.8
2013-11-30,0.6,0.6,0.6,0.6
2013-12-31,0.7,0.7,0.7,0.7
2014-01-31,0.5,0.5,0.5,0.5
2014-02-28,0.7,0.7,0.7,0.7
2014-03-31,0.7,0.7,0.7,0.7
2014-04-30,0.3,0.3,0.3,0.3
2014-05-31,0.2,0.2,0.2,0.2
2014-06-30,0.3,0.3,0.3,0.3
2014-07-31,-0.2,-0.2,-0.2,-0.2
2014-08-31,-0.3,-0.3,-0.3,-0.3
2014-09-30,-0.3,-0.3,-0.3,-0.3
2014-10-31,-0.6,-0.6,-0.6,-0.6
2014-11-30,-0.6,-0.6,-0.6,-0.6
2014-12-31,-1,-1,-1,-1
2015-01-31,-1.4,-1.4,-1.4,-1.4
2015-02-28,-1.6,-1.6,-1.6,-1.6
2015-03-31,-1.5,-1.5,-1.5,-1.5
2015-04-30,-1.1,-1.1,-1.1,-1.1
2015-05-31,-0.9,-0.9,-0.9,-0.9
2015-06-30,-0.8,-0.8,-0.8,-0.8
2015-07-31,-0.7,-0.7,-0.7,-0.7
2015-08-31,-0.6,-0.6,-0.6,-0.6
2015-09-30,-0.8,-0.8,-0.8,-0.8
2015-10-31,-0.7,-0.7,-0.7,-0.7
2015-11-30,-0.6,-0.6,-0.6,-0.6
2015-12-31,-0.5,-0.5,-0.5,-0.5
2016-01-31,-0.9,-0.9,-0.9,-0.9
2016-02-29,-0.8,-0.8,-0.8,-0.8
2016-03-31,-0.9,-0.9,-0.9,-0.9
2016-04-30,-1.1,-1.1,-1.1,-1.1
